"Original Fonville Name","Full Name"
"A/FUKUOKA/55/2002","H3N2 A/Fukuoka/55/2002"
"A/PHILIPPINES/472/2002_EGG","H3N2 A/Philippines/472/2002_Egg"
"A/PHILIPPINES/472/2002_MDCK","H3N2 A/Philippines/472/2002"
"A/SOUTH_AUSTRALIA/84/2002","H3N2 A/South Australia/84/2002"
"A/TOWNSVILLE/4/2002","H3N2 A/Townsville/4/2002"
"FU/411/02","H3N2 A/Fujian/411/2002"
"A/AUCKLAND/20/2003","H3N2 A/Auckland/20/2003"
"A/BRISBANE/342/2003","H3N2 A/Brisbane/342/2003"
"A/TOWNSVILLE/36/2003","H3N2 A/Townsville/36/2003"
"A/WYOMING/3/2003","H3N2 A/Wyoming/3/2003"
"NL/213/03","H3N2 A/Netherlands/213/2003"
"Prototype_WT_A/NETHERLANDS/213/03","H3N2 A/Netherlands/213/2003"
"PROTOTYPE_WT_A/NETHERLANDS/213/03","H3N2 A/Netherlands/213/2003"
"A/CALIFORNIA/7/2004","H3N2 A/California/7/2004"
"A/NEWCALEDONIA/12/2004","H3N2 A/New Caledonia/12/2004"
"A/NEW_YORK/55/2004","H3N2 A/New York/55/2004"
"A/SINGAPORE/37/2004","H3N2 A/Singapore/37/2004"
"A/VICTORIA/110/2004","H3N2 A/Victoria/110/2004"
"A/VICTORIA/523/2004","H3N2 A/Victoria/523/2004"
"A/WELLINGTON/1/2004","H3N2 A/Wellington/1/2004"
"A/BRISBANE/3/2005","H3N2 A/Brisbane/3/2005"
"A/WISCONSIN/67/2005","H3N2 A/Wisconsin/67/2005"
"A/BRISBANE/10/2007","H3N2 A/Brisbane/10/2007"
"A/PERTH/27/2007","H3N2 A/Perth/27/2007"
"A/URUGUAY/716/2007","H3N2 A/Uruguay/716/2007"
"VN015_EL134_2008","H3N2 A/Hanam/134/2008"
"VN015/EL134/2008","H3N2 A/Hanam/134/2008"
"VN016_EL135_2008","H3N2 A/Hanam/135/2008"
"VN016/EL135/2008","H3N2 A/Hanam/135/2008"
"VN017_EL140_2008","H3N2 A/Hanam/140/2008"
"VN017/EL140/2008","H3N2 A/Hanam/140/2008"
"A/PERTH/16/2009","H3N2 A/Perth/16/2009"
"A/VICTORIA/208/2009","H3N2 A/Victoria/208/2009"
"A/VICTORIA/500/2009","H3N2 A/Victoria/500/2009"
"HN196_2009","H3N2 A/Hanam/196/2009"
"HN196/2009","H3N2 A/Hanam/196/2009"
"HN201_2009","H3N2 A/Hanam/201/2009"
"HN201/2009","H3N2 A/Hanam/201/2009"
"HN206_2009","H3N2 A/Hanam/206/2009"
"HN206/2009","H3N2 A/Hanam/206/2009"
"VN018_EL204_2009","H3N2 A/Hanam/204/2009"
"VN018/EL204/2009","H3N2 A/Hanam/204/2009"
"A/TOWNSVILLE/87/2010","H3N2 A/Townsville/87/2010"
"A/VICTORIA/8/2010","H3N2 A/Victoria/8/2010"
"VN019_EL442_2010","H3N2 A/Hanam/442/2010"
"VN019/EL442/2010","H3N2 A/Hanam/442/2010"
"VN020_EL443_2010","H3N2 A/Hanam/443/2010"
"VN020/EL443/2010","H3N2 A/Hanam/443/2010"
"VN021_EL444_2010","H3N2 A/Hanam/444/2010"
"VN021/EL444/2010","H3N2 A/Hanam/444/2010"
"VN053_2010","H3N2 A/Hanam/53/2010"
"VN053/2010","H3N2 A/Hanam/53/2010"
"A/VICTORIA/361/2011","H3N2 A/Victoria/361/2011"
